question,answer
"Question: 主要鉴别皮质醇增高是原发于肾上腺还是继发于垂体及下丘脑的试验为
Option A: 血浆皮质醇测定
Option B: 尿游离皮质醇测定
Option C: 尿17-羟皮质类固醇测定
Option D: 尿17-酮皮质类固醇测定
Option E: 促肾上腺皮质激素(ACTH)兴奋试验",E：促肾上腺皮质激素(ACTH)兴奋试验
"Question: 强直性脊柱炎血清学检查()为阳性,无血尿酸水平升高
Option A: 人类白细胞抗原(HLA)-B3
Option B: HLA-B27
Option C: HLA-B35
Option D: HLA-DR3
Option E: HLA-DR35",B：HLA-B27
"Question: 尿糖阳性的原因不包括
Option A: 糖尿病
Option B: 尿崩症
Option C: 麻醉
Option D: 妊娠
Option E: 重大精神创伤后",B：尿崩症
"Question: 下列生物半衰期最长的磺脲类降糖药为
Option A: 甲苯磺丁脲
Option B: 格列本脲
Option C: 格列齐特
Option D: 格列喹酮
Option E: 格列吡嗪",B：格列本脲
"Question: 肢体外周动脉粥样硬化常以()病变为主
Option A: 主动脉
Option B: 冠状动脉
Option C: 脑动脉
Option D: 肾动脉
Option E: 下肢动脉",E：下肢动脉
"Question: 2 型糖尿病最重要的诱因为
Option A: 肥胖
Option B: 吸烟
Option C: 运动量减少
Option D: 食糖过多
Option E: 感染和应激",A：肥胖
"Question: 与1型糖尿病患者的诊断关系不密切的是
Option A: 谷氨酸脱羧酶(GAD)
Option B: 胰岛细胞抗体(ICA)
Option C: 胰岛细胞膜抗体(ICAs)
Option D: 甲状腺过氧化物酶抗体(TPOAb)
Option E: 蛋白酪氨酸磷酸酶(IA-2)",D：甲状腺过氧化物酶抗体(TPOAb)
"Question: 1型糖尿病尿酮体的测定采用硝酸钠与( )反应,形成了一种紫色物质,提示尿酮
体阳性
Option A: 丙酮
Option B: 乙酰乙酸
Option C: β羟丁酸
Option D: 丙酮酸
Option E: α 酮戊二酸",B：乙酰乙酸
"Question: 和原发性糖尿病无关的因素为
Option A: 遗传因素
Option B: 自身免疫
Option C: 病毒感染
Option D: 胰腺癌
Option E: 肥胖或精神刺激、创伤等应激状态",D：胰腺癌
"Question: 关于代谢综合征流行病学的描述正确的是
Option A: 合并代谢综合征者,冠心病和心血管疾病的死亡率显著增加
Option B: 代谢综合征发病率在男女性别中有显著性差异,男性显著高于女性
Option C: 我国人群中,体重指数(BMI)大者和小者相比,代谢综合征的患病率无显著性差异
Option D: 对心血管事件的危险性从高至低排列,代谢综合征在吸烟后面
Option E: 以上都正确","A：合并代谢综合征者,冠心病和心血管疾病的死亡率显著增加"
"Question: 下列对低密度脂蛋白(LDL)的叙述不正确的是
Option A: LDL亦称β脂蛋白
Option B: 具有致动脉粥样硬化的作用
Option C: 富含载脂蛋白 B48(Apo B48)
Option D: LDL在血中由极低密度脂蛋白(VLDL)转变而来
Option E: 它是胆固醇酯含量百分比最高的脂蛋白,是血中胆固醇的主要运输形式",C：富含载脂蛋白 B48(Apo B48)
"Question: 与大血管病变的危险性呈正相关的是
Option A: 胰岛素
Option B: 病情的进展
Option C: 血清高密度脂蛋白胆固醇
Option D: 年龄
Option E: 血清低密度脂蛋白和极低密度脂蛋白",E：血清低密度脂蛋白和极低密度脂蛋白
"Question: 下列可以作为糖尿病确诊依据的是
Option A: 多次空腹血糖≥7.0mmol/L
Option B: 尿糖(+++)
Option C: 餐后血糖≥11.1mmol/L
Option D: 葡萄糖耐量试验1小时血糖≥11.1mmol/L
Option E: 无“三多一少”症状,血糖多次为7.8￣11.1mmol/L",A：多次空腹血糖≥7.0mmol/L
