resource,question,answer
哈里森,糖尿病是指一组以（）为共同表现的代谢紊乱综合征,高血糖
哈里森,青年人中的成人发病型糖尿病（MODY）是糖尿病的亚型，以常染色体（）方式遗传,显性
哈里森,胰岛素是由胰岛（）合成,β细胞
哈里森,胰岛素的A、B链以（）结合生成成熟的胰岛素分子,二硫键
哈里森,胰高血糖素样肽1（GLP 1）是一种高效肠促胰岛素，由小肠的（）分泌,L细胞
哈里森,当血糖和胰岛素水平低的时候，胰岛α细胞分泌的（）会促进肝和肾髓质的糖异生和糖原分解作用,胰高血糖素
哈里森,（）是一种常见的代谢紊乱，多见于绝经前妇女，主要表现为慢性无排卵性功血和雄激素过多症,多囊卵巢综合征（PCOS）
职称书本,目前的医疗水平无法治愈1型糖尿病，患者必须长期注射（）,胰岛素
职称书本,糖尿病可分为1型糖尿病(T1DM)、2型糖尿病(T2DM)、（）和其他特殊类型糖尿病,妊娠期糖尿病
职称书本,MODY是指（）,成人起病的青少年糖尿病
职称书本,T1DM是胰岛素依赖型糖尿病，是胰岛素（）导致,绝对缺乏
职称书本,正常人血糖超过8.9mmol/L(160mg/dl)时即可查出尿糖，这一血糖水平称为（）,肾糖阈值
职称书本,（）测定阳性提示糖尿病患者即将或可能已存在酮症酸中毒，提示需进一步行血酮体测定和血气分析。,尿酮体
职称书本,（）测定可敏感地反映糖尿病肾脏的受损及其程度,尿白蛋白
职称书本,无症状的糖尿病神经病变，依靠体征筛查或（）检查方可诊断。,神经电生理
职称书本,糖尿病的诊断标准中，糖尿病症状指多尿、烦渴多饮和（）,体重减轻
职称书本,与T1DM发病有关的环境因素主要有病毒感染、化学物质及饮食因素等，以（）最为重要。,病毒感染
职称书本,糖尿病并发症众多，可分为急性并发症和（）并发症。,慢性
职称书本,暴发型T1DM起病迅速，可在数日内发病，可能与大量病毒感染直接导致胰岛（）损害有关,B细胞
职称书本,LADA是指（）,成人隐匿性自身免疫性糖尿病
职称书本,"T1DM胰岛素治疗时,患者睡前或夜间血糖控制良好，夜间无低血糖发生，仅在黎明一段时间出现高血糖,这一现象被称为（）",黎明现象
职称书本,"T1DM胰岛素治疗时,患者夜间(多见于凌晨0~3时)曾有低血糖发生，但常因患者处于睡眠中未被察觉(水平卧位和熟睡可以减轻低血糖症状),继而发生低血糖后的反跳性高血糖(体内交感神经兴奋，胰岛素拮抗激素分泌增加),导致清晨或空腹低血糖，这一现象被称为（）",Somogyi现象
职称书本,格列苯脲是（）类降糖药,磺脲
职称书本,达美康是（）类降糖药,磺脲
职称书本,诺和龙是（）类降糖药,格列奈
职称书本,米格列醇是（）类降糖药,α糖苷酶抑制剂
职称书本,罗格列酮是（）类降糖药,噻唑烷二酮
职称书本,以速效胰岛素(或类似物)和鱼精蛋白制成的（）胰岛素，通常在早餐和晚餐前各注射1次，偶尔也采取只在吃得较多的一餐前注射1次的方案,预混
职称书本,强化胰岛素治疗方案包括两种：①餐前速效胰岛素或类似物加基础胰岛素多次皮下注射；②（）,胰岛素泵持续皮下胰岛素输注(CSⅡ)
职称书本,糖尿病酮症酸中毒以（）患者多见，2型糖尿病在一定诱因下也可发生,1型糖尿病
职称书本,（）是糖尿病急性并发症之一，是一种血液中乳酸堆积引起酸中毒的疾病。,乳酸酸中毒
药品说明书,倍欣的通用名称是（）,伏格列波糖片
药品说明书,德谷胰岛素注射液最常见的不良反应是（）,低血糖
药品说明书,安立泽的通用名称是（）,沙格列汀片
其他,司美格鲁肽是（）类降糖药,GLP1-RA
